ACCESSION	GROUP.ROW	LATTITUDE	LONGTITUDE	COLOUR
WB-118	Landrace 6-row	36.13	74.23	"forestgreen"
WB-122	Landrace 6-row	39.167	70.866	"forestgreen"
WB-123	Landrace 6-row	38.54	68.78	"forestgreen"
WB-125	Landrace 6-row	30.573	104.067	"forestgreen"
WB-129	Landrace 6-row	43.817	125.324	"forestgreen"
WB-130	Landrace 6-row	43.817	125.324	"forestgreen"
WB-133	Landrace 6-row	36.067	120.383	"forestgreen"
WB-135	Landrace 6-row	28.67	77.22	"forestgreen"
WB-136	Landrace 6-row	28.67	77.22	"forestgreen"
WB-138	Landrace 6-row	26.912	75.787	"forestgreen"
WB-140	Landrace 6-row	26.912	75.787	"forestgreen"
WB-141	Landrace 6-row	26.912	75.787	"forestgreen"
WB-142	Landrace 6-row	26.912	75.787	"forestgreen"
WB-143	Landrace 6-row	26.912	75.787	"forestgreen"
WB-144	Landrace 6-row	26.912	75.787	"forestgreen"
WB-145	Landrace 6-row	36.649	138.195	"forestgreen"
WB-146	Landrace 6-row	36.649	138.195	"forestgreen"
WB-147	Landrace 6-row	35.718	127.153	"forestgreen"
WB-148	Landrace 6-row	35.718	127.153	"forestgreen"
WB-150	Landrace 6-row	35.461	128.213	"forestgreen"
WB-151	Landrace 6-row	38.201	125.478	"forestgreen"
WB-152	Landrace 6-row	35.461	128.213	"forestgreen"
WB-153	Landrace 6-row	27.72	85.32	"forestgreen"
WB-154	Landrace 6-row	28.23	84.87	"forestgreen"
WB-155	Landrace 6-row	28.84	83.78	"forestgreen"
WB-156	Landrace 6-row	28.24	83.98	"forestgreen"
WB-157	Landrace 6-row	28.24	83.96	"forestgreen"
WB-158	Landrace 6-row	27.7	85.33	"forestgreen"
WB-250	Landrace 6-row	60.17	24.93	"forestgreen"
WB-268	Landrace 6-row	63.95	41.68	"forestgreen"
WB-273	Landrace 6-row	57.767	41.5	"forestgreen"
WB-276	Landrace 6-row	54.57	100.57	"forestgreen"
WB-277	Landrace 6-row	52	40	"forestgreen"
WB-280	Landrace 6-row	39.654	66.96	"forestgreen"
WB-281	Landrace 6-row	38.54	68.78	"forestgreen"
WB-290	Landrace 6-row	43.823	25.954	"forestgreen"
WB-291	Landrace 6-row	42.063	20.437	"forestgreen"
WB-294	Landrace 6-row	31.533	48.817	"forestgreen"
WB-297	Landrace 6-row	34.583	48.817	"forestgreen"
WB-309	Landrace 6-row	36.701	38.105	"forestgreen"
WB-311	Landrace 6-row	48.5	11.4	"forestgreen"
WB-317	Landrace 6-row	64.5	18	"forestgreen"
WB-318	Landrace 6-row	58.717	5.75	"forestgreen"
WB-319	Landrace 6-row	61.261	12.323	"forestgreen"
WB-322	Landrace 6-row	36.217	6.583	"forestgreen"
WB-323	Landrace 6-row	31.05	33.833	"forestgreen"
WB-324	Landrace 6-row	31.233	34.217	"forestgreen"
WB-326	Landrace 6-row	30.467	30.85	"forestgreen"
WB-328	Landrace 6-row	32.57	35.91	"forestgreen"
WB-331	Landrace 6-row	31.92	35.65	"forestgreen"
WB-334	Landrace 6-row	34.3	35.83	"forestgreen"
WB-337	Landrace 6-row	23.52	56.33	"forestgreen"
WB-338	Landrace 6-row	23.39	57.22	"forestgreen"
WB-339	Landrace 6-row	35.083	38.917	"forestgreen"
WB-340	Landrace 6-row	33.633	36.225	"forestgreen"
WB-341	Landrace 6-row	33.6	36.4	"forestgreen"
WB-342	Landrace 6-row	36.15	39.208	"forestgreen"
WB-350	Landrace 6-row	34.86	39.05	"forestgreen"
WB-351	Landrace 6-row	34.75	36.05	"forestgreen"
WB-352	Landrace 6-row	35.617	35.833	"forestgreen"
WB-354	Landrace 6-row	34.89	40.56	"forestgreen"
WB-355	Landrace 6-row	35.617	35.831	"forestgreen"
WB-361	Landrace 6-row	15.348	44.206	"forestgreen"
WB-363	Landrace 6-row	31.15	29.94	"forestgreen"
WB-394	Landrace 6-row	31.617	65.717	"forestgreen"
WB-395	Landrace 6-row	35.86	71.79	"forestgreen"
WB-396	Landrace 6-row	36.7	3.24	"forestgreen"
WB-397	Landrace 6-row	47.35	13.21	"forestgreen"
WB-398	Landrace 6-row	42.134	24.953	"forestgreen"
WB-399	Landrace 6-row	26.918	31.33	"forestgreen"
WB-40	Landrace 6-row	29.65	91.1	"forestgreen"
WB-400	Landrace 6-row	9.583	41.867	"forestgreen"
WB-401	Landrace 6-row	8.533	34.8	"forestgreen"
WB-402	Landrace 6-row	7.1	38.75	"forestgreen"
WB-403	Landrace 6-row	45.432	6.557	"forestgreen"
WB-404	Landrace 6-row	43.046	42.73	"forestgreen"
WB-405	Landrace 6-row	39.074	21.824	"forestgreen"
WB-407	Landrace 6-row	35.24	23.68	"forestgreen"
WB-408	Landrace 6-row	37.31	22.43	"forestgreen"
WB-41	Landrace 6-row	28.357	83.737	"forestgreen"
WB-411	Landrace 6-row	31.533	48.817	"forestgreen"
WB-412	Landrace 6-row	30.517	49.833	"forestgreen"
WB-413	Landrace 6-row	32.08	48.7	"forestgreen"
WB-414	Landrace 6-row	39.667	44.75	"forestgreen"
WB-415	Landrace 6-row	36.25	43.8	"forestgreen"
WB-416	Landrace 6-row	36.443	43.257	"forestgreen"
WB-417	Landrace 6-row	36.166	43.257	"forestgreen"
WB-418	Landrace 6-row	34.36	41.97	"forestgreen"
WB-419	Landrace 6-row	33.643	42.821	"forestgreen"
WB-42	Landrace 6-row	36.649	138.195	"forestgreen"
WB-420	Landrace 6-row	38.338	16.306	"forestgreen"
WB-421	Landrace 6-row	41.45	14.183	"forestgreen"
WB-422	Landrace 6-row	26.335	17.228	"forestgreen"
WB-424	Landrace 6-row	32.767	22.25	"forestgreen"
WB-425	Landrace 6-row	32.487	20.834	"forestgreen"
WB-427	Landrace 6-row	27.568	14.501	"forestgreen"
WB-428	Landrace 6-row	27.533	14.157	"forestgreen"
WB-429	Landrace 6-row	26.167	15.117	"forestgreen"
WB-431	Landrace 6-row	27.57	14.183	"forestgreen"
WB-432	Landrace 6-row	26.65	13.7	"forestgreen"
WB-434	Landrace 6-row	24.964	10.168	"forestgreen"
WB-435	Landrace 6-row	24.964	10.168	"forestgreen"
WB-436	Landrace 6-row	26.15	14.717	"forestgreen"
WB-437	Landrace 6-row	27.271	14.904	"forestgreen"
WB-438	Landrace 6-row	24.262	14.56	"forestgreen"
WB-439	Landrace 6-row	30.133	9.5	"forestgreen"
WB-440	Landrace 6-row	31.774	11.544	"forestgreen"
WB-441	Landrace 6-row	30.737	-7.79	"forestgreen"
WB-442	Landrace 6-row	37.62	22.37	"forestgreen"
WB-443	Landrace 6-row	30.56	-7.84	"forestgreen"
WB-444	Landrace 6-row	35.363	23.631	"forestgreen"
WB-445	Landrace 6-row	45.943	24.967	"forestgreen"
WB-446	Landrace 6-row	29.132	-13.462	"forestgreen"
WB-447	Landrace 6-row	28.477	-16.426	"forestgreen"
WB-448	Landrace 6-row	41.65	-0.843	"forestgreen"
WB-449	Landrace 6-row	28.483	-16.341	"forestgreen"
WB-45	Landrace 6-row	37.4	22.13	"forestgreen"
WB-450	Landrace 6-row	28.462	-14.041	"forestgreen"
WB-451	Landrace 6-row	38.313	30.123	"forestgreen"
WB-452	Landrace 6-row	41.25	32.683	"forestgreen"
WB-453	Landrace 6-row	41.001	28.919	"forestgreen"
WB-454	Landrace 6-row	40.827	30.808	"forestgreen"
WB-455	Landrace 6-row	41.667	26.567	"forestgreen"
WB-456	Landrace 6-row	37.883	30.8	"forestgreen"
WB-457	Landrace 6-row	45.197	34.147	"forestgreen"
WB-458	Landrace 6-row	38.423	27.25	"forestgreen"
WB-459	Landrace 6-row	42.198	20.714	"forestgreen"
WB-46	Landrace 6-row	37.28	22.07	"forestgreen"
WB-47	Landrace 6-row	39.96	19.96	"forestgreen"
WB-472	Landrace 6-row	35.86	71.79	"forestgreen"
WB-473	Landrace 6-row	34.367	62.167	"forestgreen"
WB-474	Landrace 6-row	8.533	34.8	"forestgreen"
WB-475	Landrace 6-row	39.083	16.366	"forestgreen"
WB-478	Landrace 6-row	32.007	12.372	"forestgreen"
WB-49	Landrace 6-row	30.58	114.28	"forestgreen"
WB-50	Landrace 6-row	36.842	22.4	"forestgreen"
WB-502	Landrace 6-row	39.916	32.85	"forestgreen"
WB-508	Landrace 6-row	29.65	91.1	"forestgreen"
WB-51	Landrace 6-row	36.842	22.4	"forestgreen"
WB-52	Landrace 6-row	9.03	38.74	"forestgreen"
WB-55	Landrace 6-row	9.03	38.74	"forestgreen"
WB-56	Landrace 6-row	9.03	38.74	"forestgreen"
WB-58	Landrace 6-row	30.573	104.067	"forestgreen"
WB-59	Landrace 6-row	29.567	106.583	"forestgreen"
WB-60	Landrace 6-row	28.67	77.22	"forestgreen"
WB-61	Landrace 6-row	28.67	77.22	"forestgreen"
WB-64	Landrace 6-row	36.65	3.25	"forestgreen"
WB-65	Landrace 6-row	34.25	-6.48	"forestgreen"
WB-66	Landrace 6-row	34.25	-6.48	"forestgreen"
WB-67	Landrace 6-row	34.25	-6.48	"forestgreen"
WB-68	Landrace 6-row	36.65	3.25	"forestgreen"
WB-70	Landrace 6-row	36.61	10.17	"forestgreen"
WB-71	Landrace 6-row	36.61	10.17	"forestgreen"
WB-72	Landrace 6-row	36.61	10.17	"forestgreen"
WB-73	Landrace 6-row	11.831	39.6	"forestgreen"
WB-74	Landrace 6-row	12.595	39.54	"forestgreen"
WB-75	Landrace 6-row	8.983	37.848	"forestgreen"
WB-76	Landrace 6-row	9.144	39.036	"forestgreen"
WB-79	Landrace 6-row	8.767	38.933	"forestgreen"
WB-80	Landrace 6-row	9.03	38.74	"forestgreen"
WB-82	Landrace 6-row	7.5	37.8	"forestgreen"
WB-83	Landrace 6-row	6.25	38.68	"forestgreen"
WB-84	Landrace 6-row	6.25	38.68	"forestgreen"
WB-94	Landrace 6-row	31.742	-7.093	"forestgreen"
WB-95	Landrace 6-row	31.742	-7.093	"forestgreen"
WB-96	Landrace 6-row	31.742	-7.093	"forestgreen"
WB-97	Landrace 6-row	31.742	-7.093	"forestgreen"
WB-98	Landrace 6-row	31.742	-7.093	"forestgreen"
B1K-03-04	Spontaneum	32.412	34.878	"red"
B1K-03-07	Spontaneum	32.412	34.878	"red"
B1K-03-09	Spontaneum	32.412	34.878	"red"
B1K-04-08	Spontaneum	31.835	35.306	"red"
B1K-04-12	Spontaneum	31.835	35.306	"red"
B1K-04-13	Spontaneum	31.835	35.306	"red"
B1K-07-02	Spontaneum	32.342	35.516	"red"
B1K-07-11	Spontaneum	32.342	35.516	"red"
B1K-07-17	Spontaneum	32.342	35.516	"red"
B1K-10-01	Spontaneum	31.697	34.584	"red"
B1K-10-05	Spontaneum	31.697	34.584	"red"
B1K-10-10	Spontaneum	31.697	34.584	"red"
B1K-14-13	Spontaneum	32.779	35.661	"red"
B1K-14-17	Spontaneum	32.779	35.661	"red"
B1K-15-07	Spontaneum	32.691	35.662	"red"
B1K-15-15	Spontaneum	32.691	35.662	"red"
B1K-15-19	Spontaneum	32.691	35.662	"red"
B1K-16-01	Spontaneum	31.347	35.122	"red"
B1K-16-10	Spontaneum	31.347	35.122	"red"
B1K-16-15	Spontaneum	31.347	35.122	"red"
B1K-17-07	Spontaneum	31.538	34.891	"red"
B1K-17-10	Spontaneum	31.538	34.891	"red"
B1K-17-17	Spontaneum	31.538	34.891	"red"
B1K-19-01	Spontaneum	31.918	35.022	"red"
B1K-19-12	Spontaneum	31.918	35.022	"red"
B1K-20-17	Spontaneum	32.618	34.931	"red"
B1K-21-20	Spontaneum	32.653	34.974	"red"
B1K-25-01	Spontaneum	32.463	35.434	"red"
B1K-25-15	Spontaneum	32.463	35.434	"red"
B1K-25-20	Spontaneum	32.463	35.434	"red"
B1K-26-08	Spontaneum	32.748	35.639	"red"
B1K-26-16	Spontaneum	32.748	35.639	"red"
B1K-26-17	Spontaneum	32.748	35.639	"red"
B1K-27-08	Spontaneum	32.875	35.544	"red"
B1K-27-15	Spontaneum	32.875	35.544	"red"
B1K-28-10	Spontaneum	32.824	35.496	"red"
B1K-28-17	Spontaneum	32.824	35.496	"red"
B1K-29-04	Spontaneum	32.824	35.496	"red"
B1K-29-13	Spontaneum	32.824	35.496	"red"
B1K-29-20	Spontaneum	32.824	35.496	"red"
B1K-30-03	Spontaneum	32.715	34.977	"red"
B1K-30-07	Spontaneum	32.715	34.977	"red"
B1K-30-13	Spontaneum	32.715	34.977	"red"
B1K-31-01	Spontaneum	32.773	35.447	"red"
B1K-31-05	Spontaneum	32.773	35.447	"red"
B1K-31-19	Spontaneum	32.773	35.447	"red"
B1K-32-02	Spontaneum	32.578	35.471	"red"
B1K-32-13	Spontaneum	32.578	35.471	"red"
B1K-33-03	Spontaneum	30.572	34.677	"red"
B1K-33-09	Spontaneum	30.572	34.677	"red"
B1K-33-13	Spontaneum	30.572	34.677	"red"
B1K-35-11	Spontaneum	31.597	34.899	"red"
B1K-35-16	Spontaneum	31.597	34.899	"red"
B1K-35-19	Spontaneum	31.597	34.899	"red"
B1K-37-06	Spontaneum	32.906	35.607	"red"
B1K-37-11	Spontaneum	32.906	35.607	"red"
B1K-37-15	Spontaneum	32.906	35.607	"red"
B1K-38-01	Spontaneum	32.944	35.702	"red"
B1K-38-08	Spontaneum	32.944	35.702	"red"
B1K-38-14	Spontaneum	32.944	35.702	"red"
B1K-41-08	Spontaneum	33.251	35.648	"red"
B1K-41-13	Spontaneum	33.251	35.648	"red"
B1K-41-18	Spontaneum	33.251	35.648	"red"
B1K-42-01	Spontaneum	33.14	35.63	"red"
B1K-42-07	Spontaneum	33.14	35.63	"red"
B1K-42-16	Spontaneum	33.14	35.63	"red"
B1K-44-07	Spontaneum	32.988	35.19	"red"
B1K-44-09	Spontaneum	32.988	35.19	"red"
B1K-44-13	Spontaneum	32.988	35.19	"red"
B1K-48-11	Spontaneum	31.69	35.013	"red"
B1K-48-16	Spontaneum	31.69	35.013	"red"
B1K-48-19	Spontaneum	31.69	35.013	"red"
B1K-51-01	Spontaneum	32.974	35.424	"red"
B1K-51-07	Spontaneum	32.974	35.424	"red"
B1K-51-13	Spontaneum	32.974	35.424	"red"
FT037	Spontaneum	31.401	34.473	"red"
FT045	Spontaneum	31.673	35.437	"red"
FT067	Spontaneum	31.537	34.89	"red"
FT11	Spontaneum	31.835	35.305	"red"
FT144	Spontaneum	30.572	34.68	"red"
FT147	Spontaneum	30.845	34.744	"red"
FT172	Spontaneum	33.229	35.731	"red"
FT175	Spontaneum	33.251	35.646	"red"
FT18	Spontaneum	32.069	35.399	"red"
FT218	Spontaneum	31.772	35.113	"red"
FT219	Spontaneum	33.287	35.764	"red"
FT222	Spontaneum	32.974	35.424	"red"
FT229	Spontaneum	36.4	44.15	"red"
FT232	Spontaneum	36.417	41.65	"red"
FT248	Spontaneum	31.676	48.579	"red"
FT252	Spontaneum	37.25	44.483	"red"
FT262	Spontaneum	36.781	37.283	"red"
FT268	Spontaneum	35.167	38.881	"red"
FT270	Spontaneum	33.654	36.836	"red"
FT272	Spontaneum	32.217	36.05	"red"
FT276	Spontaneum	32.583	35.667	"red"
FT279	Spontaneum	35.75	69	"red"
FT286	Spontaneum	30.067	50.833	"red"
FT31	Spontaneum	31.698	34.585	"red"
FT333	Spontaneum	35.983	59.483	"red"
FT338	Spontaneum	33	35.417	"red"
FT340	Spontaneum	31.5	34.7	"red"
FT361	Spontaneum	36.4	28.167	"red"
FT363	Spontaneum	34.983	34.017	"red"
FT376	Spontaneum	35.276	62.342	"red"
FT389	Spontaneum	30.97	101.15	"red"
FT393	Spontaneum	32.743	35.445	"red"
FT42	Spontaneum	30.89	34.631	"red"
FT462	Spontaneum	37.778	39.78	"red"
FT469	Spontaneum	37.553	39.702	"red"
FT470	Spontaneum	37.332	40.771	"red"
FT473	Spontaneum	37.658	37.787	"red"
FT507	Spontaneum	36.383	43.417	"red"
FT512	Spontaneum	35.606	35.821	"red"
FT56	Spontaneum	32.781	35.66	"red"
FT566	Spontaneum	38.417	56.683	"red"
FT567	Spontaneum	41.05	61.883	"red"
FT568	Spontaneum	34.5	63.183	"red"
FT572	Spontaneum	30.667	35.633	"red"
FT578	Spontaneum	40.65	43.1	"red"
FT581	Spontaneum	37.967	41.717	"red"
FT582	Spontaneum	37.093	42.099	"red"
FT584	Spontaneum	36.967	40.498	"red"
FT589	Spontaneum	35.029	37.007	"red"
FT590	Spontaneum	35.013	36.703	"red"
FT592	Spontaneum	37.074	41.086	"red"
FT595	Spontaneum	36.333	42.167	"red"
FT604	Spontaneum	36.083	43.167	"red"
FT611	Spontaneum	35.5	51.25	"red"
FT613	Spontaneum	32.55	49.83	"red"
FT616	Spontaneum	32.189	48.258	"red"
FT626	Spontaneum	32.1	35.717	"red"
FT627	Spontaneum	32.017	35.9	"red"
FT628	Spontaneum	32.596	36.379	"red"
FT630	Spontaneum	33.467	35.867	"red"
FT631	Spontaneum	33.933	36.1	"red"
FT632	Spontaneum	37.078	42.071	"red"
FT64	Spontaneum	31.347	35.123	"red"
FT643	Spontaneum	31.673	35.437	"red"
FT657	Spontaneum	29.608	52.525	"red"
FT658	Spontaneum	35.367	43.2	"red"
FT660	Spontaneum	36.75	45.7	"red"
FT661	Spontaneum	38.5	47.2	"red"
FT670	Spontaneum	36.992	36.932	"red"
FT671	Spontaneum	33.833	35.917	"red"
FT730	Spontaneum	37.329	37.275	"red"
FT731	Spontaneum	37.424	37.281	"red"
FT733	Spontaneum	36.256	36.467	"red"
FT734	Spontaneum	37.41	38.779	"red"
FT735	Spontaneum	37.792	39.955	"red"
FT741	Spontaneum	37.681	41.453	"red"
FT746	Spontaneum	36.979	36.728	"red"
FT747	Spontaneum	36.866	36.952	"red"
FT748	Spontaneum	37.315	37.735	"red"
FT75	Spontaneum	31.437	34.888	"red"
FT754	Spontaneum	36.95	40.001	"red"
FT871	Spontaneum	40.071	67.693	"red"
FT873	Spontaneum	38.311	66.625	"red"
FT875	Spontaneum	38.075	67.436	"red"
FT878	Spontaneum	34.443	46.019	"red"
FT879	Spontaneum	34.526	45.943	"red"
FT880	Spontaneum	35.272	47.029	"red"
FT885	Spontaneum	38.624	68.614	"red"
FT886	Spontaneum	38.342	69.239	"red"
HID004	Spontaneum	35.58	43.24	"red"
HID055	Spontaneum	36.85	40.03	"red"
HID062	Spontaneum	36.85	37.15	"red"
HID069	Spontaneum	36.85	37.52	"red"
HID080	Spontaneum	37.32	37.49	"red"
HID294	Spontaneum	33.11	46.17	"red"
HID358	Spontaneum	37.89	39.9	"red"
WB-172	Spontaneum	34.32	62.2	"red"
WB-33	Spontaneum	31.833	48.898	"red"
WB-34	Spontaneum	37.25	44.467	"red"
WB-35	Spontaneum	33.01	35.417	"red"
WB-36	Spontaneum	33.32	35.76	"red"
WB-479	Spontaneum	30.934	34.865	"red"
WB-480	Spontaneum	31.436	34.888	"red"
WB-481	Spontaneum	32.821	35.507	"red"
WB-482	Spontaneum	31.595	34.899	"red"
WB-483	Spontaneum	32.633	35.7	"red"
WB-484	Spontaneum	38.311	66.625	"red"
WB-486	Spontaneum	35.58	43.22	"red"
WB-487	Spontaneum	36.85	40.033	"red"
WB-488	Spontaneum	36.68	37.09	"red"
WB-489	Spontaneum	36.752	37.475	"red"
WB-490	Spontaneum	36.854	37.521	"red"
WB-491	Spontaneum	37.323	37.467	"red"
WB-492	Spontaneum	35.18	38.86	"red"
WB-493	Spontaneum	33.654	36.836	"red"
WB-494	Spontaneum	35.606	35.821	"red"
WB-495	Spontaneum	34.95	36.75	"red"
WB-496	Spontaneum	33.45	35.317	"red"
WB-497	Spontaneum	32	48.55	"red"
WB-498	Spontaneum	36.4	44.2	"red"
WB-499	Spontaneum	30.07	50.84	"red"
WB-500	Spontaneum	32.617	62.617	"red"
WB-501	Spontaneum	33.233	48.567	"red"
WB-504	Spontaneum	38.471	44.409	"red"
WB-505	Spontaneum	37.787	39.748	"red"
WB-507	Spontaneum	31.383	34.882	"red"
WB-509	Spontaneum	31.77	35.05	"red"
WB-511	Spontaneum	32.752	35.669	"red"
WBDC_007	Spontaneum	32.33	35.92	"red"
WBDC_012	Spontaneum	36.28	64.86	"red"
WBDC_019	Spontaneum	36.75	45.72	"red"
WBDC_029	Spontaneum	31.58	34.63	"red"
WBDC_030	Spontaneum	33.08	35.18	"red"
WBDC_032	Spontaneum	33	35.13	"red"
WBDC_051	Spontaneum	34.76	39.03	"red"
WBDC_097	Spontaneum	31.28	35.83	"red"
WBDC_123	Spontaneum	36.42	58.47	"red"
WBDC_128	Spontaneum	33.84	36.17	"red"
WBDC_132	Spontaneum	33.47	35.87	"red"
WBDC_140	Spontaneum	34.2	36.08	"red"
WBDC_149	Spontaneum	38.08	45	"red"
WBDC_169	Spontaneum	33.5	35.78	"red"
WBDC_170	Spontaneum	33.63	35.95	"red"
WBDC_195	Spontaneum	36.81	37.22	"red"
WBDC_196	Spontaneum	36.99	36.93	"red"
WBDC_204	Spontaneum	38.58	57.12	"red"
WBDC_207	Spontaneum	40.34	71.18	"red"
WBDC_210	Spontaneum	39.93	67.68	"red"
WBDC_212	Spontaneum	40.01	67.09	"red"
WBDC_213	Spontaneum	39.55	66.56	"red"
WBDC_216	Spontaneum	38.73	56.85	"red"
WBDC_220	Spontaneum	42.42	69.7	"red"
WBDC_225	Spontaneum	40.12	69.2	"red"
WBDC_228	Spontaneum	40.49	49.19	"red"
WBDC_229	Spontaneum	40.53	48.89	"red"
WBDC_231	Spontaneum	40.71	48.8	"red"
WBDC_233	Spontaneum	35.93	68.7	"red"
WBDC_236	Spontaneum	31.6	35.62	"red"
WBDC_237	Spontaneum	31.53	35.62	"red"
WBDC_257	Spontaneum	31.18	35.7	"red"
WBDC_260	Spontaneum	30.5	35.5	"red"
WBDC_265	Spontaneum	30.93	35.67	"red"
WBDC_268	Spontaneum	31.75	36.76	"red"
WBDC_269	Spontaneum	33.42	35.87	"red"
WBDC_274	Spontaneum	30.87	34.77	"red"
WBDC_285	Spontaneum	32.98	35.45	"red"
WBDC_286	Spontaneum	32.97	35.47	"red"
WBDC_297	Spontaneum	37.06	41.75	"red"
WBDC_300	Spontaneum	36.37	36.86	"red"
WBDC_315	Spontaneum	34.94	36.85	"red"
WBDC_317	Spontaneum	35.52	38.76	"red"
WBDC_318	Spontaneum	32.6	36.74	"red"
WBDC_324	Spontaneum	35.83	61.46	"red"
WBDC_326	Spontaneum	37.72	58.6	"red"
WBDC_332	Spontaneum	38.43	56.42	"red"
WBDC_333	Spontaneum	38.41	56.49	"red"
WBDC_336	Spontaneum	38.42	56.68	"red"
WBDC_338	Spontaneum	37.27	37.54	"red"
WBDC001	Spontaneum	36.22	36.7	"red"
WBDC002	Spontaneum	35.71	37.44	"red"
WBDC004	Spontaneum	35.97	36.54	"red"
WBDC006	Spontaneum	32.3	36.17	"red"
WBDC008	Spontaneum	32.67	35.62	"red"
WBDC009	Spontaneum	31.53	35.75	"red"
WBDC010	Spontaneum	36.67	65.73	"red"
WBDC018	Spontaneum	34.98	63.12	"red"
WBDC020	Spontaneum	36.85	40.03	"red"
WBDC022	Spontaneum	39.78	30.52	"red"
WBDC061	Spontaneum	36.157	36.6	"red"
